Title,Price,Area,BHK,Bathrooms,Furnished,Floor,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Locality,Society,price_2022,price_2020,price_2018,price_2016,price_2014,price_2012,price_2010,price_2008,price_2006,price_2004,price_2002,price_2000,price_1998,price_1996,price_1994
3BHK Multistorey Apartment for Rent in Runwal Bliss at Kanjurmarg East,75000.0,1499.0,3.0,3.0,Semi-Furnished,15.0,East,Garden/Park,Rent,Apartment,Mumbai,2010.0,Kanjurmarg,Runwal Bliss,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,,,,,,,,,
3BHK Multistorey Apartment for Rent in Runwal Elegante at Andheri West,140000.0,1694.0,3.0,3.0,Unfurnished,3.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2015.0,Andheri,Runwal Elegante,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Girnar Heights at Wadala East,80000.0,965.0,2.0,2.0,Furnished,16.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015.0,Wadala,Girnar Heights,72562.358276644,65816.19798335055,59697.231730930194,54147.14896229496,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,75000.0,1450.0,3.0,3.0,Semi-Furnished,17.0,East,Garden/Park,Rent,Apartment,Mumbai,1990.0,Kanjurmarg,Runwal Forests,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,31164.049115061225,28266.711215475032,25638.74033149662,23255.09327119875,21093.055121268706,19132.02278573125,17353.30864918934
3BHK Multistorey Apartment for Rent in Piramal Revanta at Mulund West,80000.0,1700.0,3.0,3.0,Semi-Furnished,18.0,North,"Pool, Garden/Park, Main Road",Rent,Apartment,Mumbai,2015.0,Mulund,Piramal Revanta,72562.358276644,65816.19798335055,59697.231730930194,54147.14896229496,,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Sagar Kanya at Andheri West,75000.0,1120.0,2.0,2.0,Furnished,2.0,East,Main Road,Rent,Apartment,Mumbai,1980.0,Andheri,Sagar Kanya,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,31164.049115061225,28266.711215475032,25638.74033149662,23255.09327119875,21093.055121268706,19132.02278573125,17353.30864918934
1BHK Multistorey Apartment for Rent in Vile Parle East,45000.0,800.0,1.0,2.0,Semi-Furnished,4.0,West,Main Road,Rent,Apartment,Mumbai,2016.0,Vile Parle East,Vile Parle East,40816.32653061224,37021.61136563468,33579.692848648236,,,,,,,,,,,,
1BHK Multistorey Apartment for Rent in Sea Crown at Charkop Gaon,27000.0,620.0,1.0,2.0,Unfurnished,5.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2015.0,Charkop,Sea Crown,24489.795918367345,22212.96681938081,20147.81570918894,18274.662774774548,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Celestia Spaces at Sewri,160000.0,1413.0,3.0,3.0,Semi-Furnished,11.0,North - East,Main Road,Rent,Apartment,Mumbai,2011.0,Sewri,Celestia Spaces,145124.716553288,131632.3959667011,119394.46346186039,108294.29792458992,98226.12056652147,89093.98690840948,,,,,,,,,
2BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,58000.0,1200.0,2.0,2.0,Semi-Furnished,26.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2014.0,Kanjurmarg,Runwal Forests,52607.70975056689,47716.74353792915,43280.49300492439,39256.68299766385,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Mulund West,70000.0,1450.0,3.0,3.0,Semi-Furnished,20.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1985.0,Mulund West,Mulund West,63492.06349206349,57589.17323543173,52235.07776456392,47378.75534200809,42973.92774785314,38978.61927242915,35354.7567096863,32067.806539398003,29086.44584072381,26382.263801110028,23929.490976063513,21704.7537197855,19686.85144651746,17856.554600015832,16196.42140591005
2BHK Multistorey Apartment for Rent in Ekta Tripolis at Goregaon West,70000.0,1278.0,2.0,2.0,Semi-Furnished,14.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1986.0,Goregaon,Ekta Tripolis,63492.06349206349,57589.17323543173,52235.07776456392,47378.75534200809,42973.92774785314,38978.61927242915,35354.7567096863,32067.806539398003,29086.44584072381,26382.263801110028,23929.490976063513,21704.7537197855,19686.85144651746,17856.554600015832,16196.42140591005
3BHK Multistorey Apartment for Rent in Lodha New Cuffe Parade at Wadala,120000.0,1350.0,3.0,2.0,Unfurnished,24.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015.0,Wadala,Lodha New Cuffe Parade,108843.53741496598,98724.29697502582,89545.8475963953,81220.72344344243,,,,,,,,,,,
1BHK Multistorey Apartment for Rent in JP North Elara at Mira Road Area,19000.0,685.0,1.0,2.0,Unfurnished,14.0,North - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2017.0,Mira,JP North Elara,17233.560090702947,15631.347021045754,14178.09253609592,,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Wadala West,110000.0,1350.0,3.0,2.0,Unfurnished,1.0,West,Main Road,Rent,Apartment,Mumbai,2016.0,Wadala West,Wadala West,99773.24263038549,90497.272227107,82083.69363002901,,,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Godrej The Trees at Vikhroli East,80000.0,856.0,2.0,2.0,Semi-Furnished,3.0,North - East,Garden/Park,Rent,Apartment,Mumbai,2015.0,Vikhroli,Godrej The Trees,72562.358276644,65816.19798335055,59697.231730930194,54147.14896229496,,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Zenith at Mulund West,55000.0,1250.0,2.0,2.0,Semi-Furnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2012.0,Mulund,Zenith,49886.621315192744,45248.6361135535,41041.846815014505,37226.164911577784,33765.22894474175,,,,,,,,,,
3BHK Multistorey Apartment for Rent in diamond garden at Chembur,75000.0,1600.0,3.0,3.0,Semi-Furnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2004.0,Chembur,diamond garden,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,31164.049115061225,,,,,,
4BHK Multistorey Apartment for Rent in Raheja Acropolis at Chembur,150000.0,1820.0,4.0,3.0,Furnished,5.0,East,Garden/Park,Rent,Apartment,Mumbai,1986.0,Chembur,Raheja Acropolis,136054.42176870749,123405.37121878227,111932.30949549412,101525.90430430304,92086.98803111387,83525.61272663389,75760.19294932777,68716.72829871,62328.09823012245,56533.422430950064,51277.48066299324,46510.1865423975,42186.11024253741,38264.0455714625,34706.61729837868
1BHK Multistorey Apartment for Rent in Hiranandani Zen Maple at Hiranandani Gardens,56000.0,600.0,1.0,1.0,Furnished,3.0,North - East,Garden/Park,Rent,Apartment,Mumbai,2011.0,Hiranandani,Hiranandani Zen Maple,50793.65079365079,46071.33858834538,41788.06221165114,37903.00427360647,34379.14219828251,31182.895417943317,,,,,,,,,
2BHK Multistorey Apartment for Rent in Piramal Revanta at Mulund West,47000.0,984.0,2.0,2.0,Semi-Furnished,10.0,East,Main Road,Rent,Apartment,Mumbai,2013.0,Mulund,Piramal Revanta,42630.38548752834,38667.01631521845,35072.12364192149,31811.450015348288,28853.92291641568,,,,,,,,,,
2BHK Multistorey Apartment for Rent in Sheth Montana at Mulund West,50000.0,723.0,2.0,2.0,Semi-Furnished,13.0,East,Main Road,Rent,Apartment,Mumbai,2012.0,Mulund,Sheth Montana,45351.47392290249,41135.12373959409,37310.76983183137,33841.96810143435,30695.66267703796,,,,,,,,,,
"3BHK Multistorey Apartment for Rent in Vasant Sagar at Thakur Village, Kandivali East",75000.0,1200.0,3.0,3.0,Furnished,1.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2000.0,Thakur,Vasant Sagar,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,41762.806363316944,37880.096474663886,34358.364149355,31164.049115061225,28266.711215475032,25638.74033149662,,,,
2BHK Multistorey Apartment for Rent in Arkade Earth at Kanjurmarg East,50000.0,1250.0,2.0,2.0,Unfurnished,2.0,West,"Garden/Park, Pool",Rent,Apartment,Mumbai,2000.0,Kanjurmarg,Arkade Earth,45351.47392290249,41135.12373959409,37310.76983183137,33841.96810143435,30695.66267703796,27841.87090887796,25253.397649775925,22905.57609957,20776.03274337415,18844.47414365002,17092.493554331082,,,,
1BHK Multistorey Apartment for Rent in Panchsheel Residency at Mahavir Nagar Kandivali West,36000.0,600.0,1.0,1.0,Furnished,4.0,East,Main Road,Rent,Apartment,Mumbai,1990.0,Mahavir,Panchsheel Residency,32653.061224489797,29617.289092507744,26863.754278918586,24366.21703303273,22100.87712746733,20046.14705439213,18182.446307838665,16492.014791690402,14958.743575229388,13568.021383428015,12306.595359118379,11162.4447701754,10124.666458208978,9183.370937151,8329.588151610882
"2BHK Multistorey Apartment for Rent in Aangan CHS at Thakur Village, Kandivali East",46000.0,795.0,2.0,2.0,Furnished,4.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2000.0,Thakur,Aangan CHS,41723.356009070296,37844.31384042656,34325.90824528486,31134.6106533196,28240.00966287492,25614.521236167726,23233.12583779385,21073.1300116044,19113.95012390422,17336.91621215802,15725.094069984594,,,,
1BHK Multistorey Apartment for Rent in Piramal Revanta at Mulund West,35000.0,650.0,1.0,2.0,Unfurnished,25.0,West,"Garden/Park, Pool",Rent,Apartment,Mumbai,2004.0,Mulund,Piramal Revanta,31746.031746031746,28794.586617715864,26117.53888228196,23689.377671004044,21486.96387392657,19489.309636214573,17677.37835484315,16033.903269699002,14543.222920361904,,,,,,
2BHK Multistorey Apartment for Rent in Dadar East,100000.0,1300.0,2.0,2.0,Furnished,2.0,North - East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2009.0,Dadar East,Dadar East,90702.94784580499,82270.24747918818,74621.53966366274,67683.9362028687,61391.32535407592,55683.74181775592,50506.79529955185,,,,,,,,
3BHK Multistorey Apartment for Rent in Hiranandani Gardens,130000.0,1650.0,3.0,3.0,Unfurnished,11.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2009.0,Hiranandani Gardens,Hiranandani Gardens,117913.83219954648,106951.32172294463,97008.00156276156,87989.11706372931,79808.72296029869,72388.8643630827,65658.83388941741,,,,,,,,
"3BHK Multistorey Apartment for Rent in Evershine Crown at Thakur Village, Kandivali East",65000.0,1350.0,3.0,2.0,Unfurnished,7.0,South -West,Main Road,Rent,Apartment,Mumbai,2001.0,Thakur,Evershine Crown,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,27008.842566386393,24497.816386745028,22220.241620630404,,,,
3BHK Multistorey Apartment for Rent in Moti Nagar,45000.0,911.0,3.0,3.0,Semi-Furnished,2.0,North,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2017.0,Moti Nagar,Moti Nagar,40816.32653061224,37021.61136563468,33579.692848648236,,,,,,,,,,,,
1BHK Multistorey Apartment for Rent in diamond garden at Chembur,36000.0,700.0,1.0,2.0,Unfurnished,3.0,East,Main Road,Rent,Apartment,Mumbai,2000.0,Chembur,diamond garden,32653.061224489797,29617.289092507744,26863.754278918586,24366.21703303273,22100.87712746733,20046.14705439213,18182.446307838665,16492.014791690402,14958.743575229388,13568.021383428015,12306.595359118379,,,,
2BHK Multistorey Apartment for Rent in Neelam Solstice at Ghatkopar East,55000.0,1250.0,2.0,2.0,Semi-Furnished,10.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,1999.0,Ghatkopar,Neelam Solstice,49886.621315192744,45248.6361135535,41041.846815014505,37226.164911577784,33765.22894474175,30626.05799976576,27778.73741475352,25196.133709527003,22853.636017711564,20728.921558015023,18801.74290976419,17053.73506554575,,,
3BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,78000.0,1300.0,3.0,2.0,Semi-Furnished,15.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2010.0,Kanjurmarg,Runwal Forests,70748.29931972788,64170.793033766786,58204.80093765694,52793.47023823758,47885.233776179215,43433.31861784962,,,,,,,,,
2BHK Multistorey Apartment for Rent in Neptune Horizon Point at Bhandup West,50000.0,700.0,2.0,2.0,Furnished,19.0,North - East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2011.0,Bhandup,Neptune Horizon Point,45351.47392290249,41135.12373959409,37310.76983183137,33841.96810143435,30695.66267703796,27841.87090887796,,,,,,,,,
3BHK Multistorey Apartment for Rent in Deonar Govandi East,120000.0,1944.0,3.0,3.0,Semi-Furnished,10.0,North - East,Garden/Park,Rent,Apartment,Mumbai,2005.0,Deonar Govandi East,Deonar Govandi East,108843.53741496598,98724.29697502582,89545.8475963953,81220.72344344243,73669.5904248911,66820.4901813071,60608.15435946222,54973.382638968,49862.47858409796,,,,,,
"2BHK Multistorey Apartment for Rent in Sheth Vasant Utsav at Thakur Village, Kandivali East",40000.0,800.0,2.0,2.0,Unfurnished,3.0,East,Garden/Park,Rent,Apartment,Mumbai,2007.0,Thakur,Sheth Vasant Utsav,36281.179138322,32908.09899167527,29848.615865465097,27073.57448114748,24556.530141630366,22273.49672710237,20202.71811982074,18324.460879656002,,,,,,,
2BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,38500.0,770.0,2.0,2.0,Semi-Furnished,10.0,North,Main Road,Rent,Apartment,Mumbai,2008.0,Kanjurmarg,Runwal Forests,34920.63492063492,31674.04527948745,28729.292770510154,26058.315438104448,23635.660261319226,21438.24059983603,19445.116190327462,,,,,,,,
3BHK Multistorey Apartment for Rent in Omkar Alta Monte at Malad East,99000.0,1833.0,3.0,4.0,Unfurnished,15.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2003.0,Malad,Omkar Alta Monte,89795.91836734694,81447.5450043963,73875.32426702611,67007.09684084001,60777.412100535155,55126.904399578365,50001.727346556334,45353.0406771486,41136.54483188082,37312.05880442704,,,,,
"2BHK Multistorey Apartment for Rent in Oberoi Park View at Thakur Village, Kandivali East",65000.0,1080.0,2.0,2.0,Semi-Furnished,6.0,West,Pool,Rent,Apartment,Mumbai,2001.0,Thakur,Oberoi Park View,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,27008.842566386393,24497.816386745028,22220.241620630404,,,,
3BHK Multistorey Apartment for Rent in Oberoi Exquisite II at Goregaon East,160000.0,1690.0,3.0,3.0,Semi-Furnished,23.0,North - East,Garden/Park,Rent,Apartment,Mumbai,2006.0,Goregaon,Oberoi Exquisite II,145124.716553288,131632.3959667011,119394.46346186039,108294.29792458992,98226.12056652147,89093.98690840948,80810.87247928296,73297.84351862401,,,,,,,
2BHK Multistorey Apartment for Rent in Srishti Harmony at Chandivali,60000.0,950.0,2.0,2.0,Semi-Furnished,13.0,North,Main Road,Rent,Apartment,Mumbai,2001.0,Chandivali,Srishti Harmony,54421.76870748299,49362.14848751291,44772.92379819765,40610.361721721216,36834.79521244555,33410.24509065355,30304.07717973111,27486.691319484,24931.23929204898,22613.368972380023,20510.9922651973,,,,
3BHK Multistorey Apartment for Rent in Runwal Greens at Mulund West,62000.0,1475.0,3.0,3.0,Unfurnished,9.0,North,Main Road,Rent,Apartment,Mumbai,2008.0,Mulund,Runwal Greens,56235.82766439909,51007.55343709667,46265.3545914709,41964.04044577859,38062.621719527066,34523.919927008676,31314.21308572215,,,,,,,,
2BHK Multistorey Apartment for Rent in Pranjee Palm Court at Chembur East,65000.0,1100.0,2.0,2.0,Furnished,7.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1985.0,Chembur,Pranjee Palm Court,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,27008.842566386393,24497.816386745028,22220.241620630404,20154.414168372252,18280.647771766213,16581.08641430042,15039.53416263076
3BHK Multistorey Apartment for Rent in Lodha Fiorenza at Aarey Colony,130000.0,2205.0,3.0,3.0,Semi-Furnished,2.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2009.0,Aarey,Lodha Fiorenza,117913.83219954648,106951.32172294463,97008.00156276156,87989.11706372931,79808.72296029869,72388.8643630827,65658.83388941741,,,,,,,,
4BHK Multistorey Apartment for Rent in Union Park Chembur,140000.0,1850.0,4.0,4.0,Unfurnished,5.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2010.0,Union Park Chembur,Union Park Chembur,126984.12698412698,115178.34647086346,104470.15552912783,94757.51068401618,85947.85549570627,77957.2385448583,,,,,,,,,
3BHK Multistorey Apartment for Rent in Jay Prakash Nagar Goregaon East,65000.0,1000.0,3.0,3.0,Unfurnished,9.0,West,Main Road,Rent,Apartment,Mumbai,2000.0,Jay Prakash Nagar Goregaon East,Jay Prakash Nagar Goregaon East,58956.91609977324,53475.660861472315,48504.00078138078,43994.558531864655,39904.361480149346,36194.43218154135,32829.416944708704,29777.248929441,27008.842566386393,24497.816386745028,22220.241620630404,,,,
2BHK Multistorey Apartment for Rent in Mindspace,75000.0,1105.0,2.0,2.0,Unfurnished,26.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2012.0,Mindspace,Mindspace,68027.21088435374,61702.685609391134,55966.15474774706,50762.95215215152,46043.494015556935,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Lodha Fiorenza at Goregaon East,110000.0,1650.0,3.0,3.0,Semi-Furnished,10.0,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2019.0,Goregaon,Lodha Fiorenza,99773.24263038549,90497.272227107,,,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Vishwadeep Heights at Mahavir Nagar Kandivali West,50000.0,1088.0,3.0,2.0,Unfurnished,11.0,North - East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,1991.0,Mahavir,Vishwadeep Heights,45351.47392290249,41135.12373959409,37310.76983183137,33841.96810143435,30695.66267703796,27841.87090887796,25253.397649775925,22905.57609957,20776.03274337415,18844.47414365002,17092.493554331082,15503.3955141325,14062.03674751247,12754.681857154166,11568.872432792892
3BHK Multistorey Apartment for Rent in Mulund East,60000.0,900.0,3.0,3.0,Semi-Furnished,4.0,East,Main Road,Rent,Apartment,Mumbai,2015.0,Mulund East,Mulund East,54421.76870748299,49362.14848751291,44772.92379819765,40610.361721721216,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in Oberoi Eternia And Enigma at Mulund West,80000.0,1150.0,3.0,3.0,Unfurnished,15.0,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2014.0,Mulund,Oberoi Eternia And Enigma,72562.358276644,65816.19798335055,59697.231730930194,54147.14896229496,,,,,,,,,,,
3BHK Multistorey Apartment for Rent in I C Colony at Borivali West,55000.0,1200.0,3.0,3.0,Unfurnished,5.0,North - East,Main Road,Rent,Apartment,Mumbai,2007.0,Borivali,I C Colony,49886.621315192744,45248.6361135535,41041.846815014505,37226.164911577784,33765.22894474175,30626.05799976576,27778.73741475352,25196.133709527003,,,,,,,
1BHK Multistorey Apartment for Rent in Priyamvada CHS at Ashok Nagar Mulund West,24500.0,550.0,1.0,2.0,Semi-Furnished,3.0,East,Garden/Park,Rent,Apartment,Mumbai,1993.0,Ashok,Priyamvada CHS,22222.222222222223,20156.210632401104,18282.277217597373,16582.56436970283,15040.874711748598,13642.516745350202,12374.164848390204,11223.7322887893,10180.256044253334,9233.79233038851,8375.32184162223,7596.663801924925,6890.398006281111,6249.794110005541,5668.747492068517
1BHK Multistorey Apartment for Rent in Thakur Complex,29000.0,585.0,1.0,2.0,Unfurnished,6.0,North - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2005.0,Thakur Complex,Thakur Complex,26303.854875283447,23858.371768964575,21640.246502462196,19628.341498831924,17803.484352682015,16148.285127149218,14646.970636870037,13285.234137750602,12050.098991157007,,,,,,
2BHK Multistorey Apartment for Rent in Runwal Chestnut at Mulund West,49500.0,1150.0,2.0,2.0,Semi-Furnished,12.0,North - East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2000.0,Mulund,Runwal Chestnut,44897.95918367347,40723.77250219815,36937.662133513055,33503.548420420004,30388.706050267578,27563.452199789182,25000.863673278167,22676.5203385743,20568.27241594041,18656.02940221352,16921.56861878777,,,,
2BHK Multistorey Apartment for Rent in Mindspace,66000.0,1150.0,2.0,2.0,Unfurnished,8.0,West,Garden/Park,Rent,Apartment,Mumbai,2009.0,Mindspace,Mindspace,59863.94557823129,54298.3633362642,49250.21617801741,44671.39789389334,40518.2747336901,36751.26959971891,33334.48489770422,,,,,,,,
2BHK Multistorey Apartment for Rent in Mulund East,42000.0,890.0,2.0,2.0,Semi-Furnished,5.0,North,Main Road,Rent,Apartment,Mumbai,1992.0,Mulund East,Mulund East,38095.23809523809,34553.503941259034,31341.046658738353,28427.253205204852,25784.356648711884,23387.171563457487,21212.85402581178,19240.6839236388,17451.867504434285,15829.358280666018,14357.694585638108,13022.8522318713,11812.110867910475,10713.9327600095,9717.85284354603
1BHK Multistorey Apartment for Rent in Tower 28 at Upper Govind Nagar,33000.0,670.0,1.0,2.0,Unfurnished,4.0,East,Garden/Park,Rent,Apartment,Mumbai,2010.0,Upper,Tower 28,29931.972789115644,27149.1816681321,24625.108089008703,22335.69894694667,20259.13736684505,18375.634799859454,,,,,,,,,
3BHK Multistorey Apartment for Rent in Evershine Green at Oshiwara,200000.0,1450.0,3.0,3.0,Furnished,12.0,West,Main Road,Rent,Apartment,Mumbai,1985.0,Oshiwara,Evershine Green,181405.89569160997,164540.49495837637,149243.07932732548,135367.8724057374,122782.65070815184,111367.48363551185,101013.5905991037,91622.30439828,83104.1309734966,75377.89657460008,68369.97421732433,62013.58205653,56248.14699004988,51018.727428616665,46275.48973117157
1BHK Multistorey Apartment for Rent in I C Colony at Borivali West,28000.0,550.0,1.0,2.0,Semi-Furnished,8.0,East,Main Road,Rent,Apartment,Mumbai,2010.0,Borivali,I C Colony,25396.825396825396,23035.66929417269,20894.03110582557,18951.502136803236,17189.571099141256,15591.447708971658,,,,,,,,,
2BHK Multistorey Apartment for Rent in Hiranandani Gardens,110000.0,1270.0,2.0,2.0,Furnished,24.0,West,Main Road,Rent,Apartment,Mumbai,2008.0,Hiranandani Gardens,Hiranandani Gardens,99773.24263038549,90497.272227107,82083.69363002901,74452.32982315557,67530.4578894835,61252.11599953152,55557.47482950704,,,,,,,,
2BHK Multistorey Apartment for Rent in Kanakia Silicon Valley at Powai,72000.0,666.0,2.0,2.0,Unfurnished,11.0,East,"Main Road, Garden/Park",Rent,Apartment,Mumbai,2015.0,Powai,Kanakia Silicon Valley,65306.12244897959,59234.57818501549,53727.50855783717,48732.43406606546,,,,,,,,,,,
